TaskNumber,Summary,Priority,RaisedByID,AssignedToID,AuthorisedByID,StatusCode,ProjectCode,ProjectBreakdownCode,Category,SubCategory,HoursEstimate,HoursActual,DeveloperID,DeveloperHoursActual,TaskPerformance,DeveloperPerformance
12833,"YYY ZZZ - Meeting to discuss Reconciliation Files",1,13,13,NA,"CHRONICLE","PC17","PBC75","Development","Conversion",1.5,3,24,1.5,-1.5,NA
12834,"CCC - Data Mart - Meeting/emails to discuss updates required.",1,13,13,NA,"CHRONICLE","PC2","PBC42","Development","Enhancement",1.5,1.83,13,1.83,-0.33,-0.33
12835,"Clearing out old scripts in TFS",5,53,53,NA,"CHRONICLE","PC5","PBC51","Operational","In House Support",1,1,53,1,0,0
12836,"Getting Sync DB Scripts to TFS tool working on live SQL box",5,53,53,NA,"CHRONICLE","PC5","PBC51","Operational","In House Support",9,14,24,3,-5,NA
12836,"Getting Sync DB Scripts to TFS tool working on live SQL box",5,53,53,NA,"CHRONICLE","PC5","PBC51","Operational","In House Support",9,14,53,11,-5,-2
12837,"YouLink HR: Synchronise DEV to TEST locally",1,58,58,NA,"FINISHED","PC5","PBC51","Development","Release",2.5,3.46,2,1.73,-0.96,NA
12837,"YouLink HR: Synchronise DEV to TEST locally",1,58,58,NA,"FINISHED","PC5","PBC51","Development","Release",2.5,3.46,58,1.73,-0.96,0.77
12838,"YouLink HR: Release - Create Test Company - Add TOIL Parameter",1,58,58,NA,"FINISHED","PC5","PBC51","Development","Release",1.5,1.67,58,1.67,-0.17,-0.17
12839,"YouLink HR: Release - Test System",1,58,58,NA,"FINISHED","PC5","PBC51","Development","Testing",3.5,10.35,2,2,-6.85,NA
12839,"YouLink HR: Release - Test System",1,58,58,NA,"FINISHED","PC5","PBC51","Development","Testing",3.5,10.35,58,8.35,-6.85,-4.85
12841,"CCC to CCC transition - info sent on SCMS & SCMS setup estimates To YYY ZZZ",1,13,13,NA,"COMPLETED","PC2","PBC53","Management","Project Management",1,5,13,5,-4,-4
12842,"Interviewing at CCC",3,23,42,NA,"COMPLETED","PC18","PBC33","Management","Staff Recruitment",5,5,42,5,0,0
12843,"YYY ZZZ helpdesk call No 42870 - Syndicate XXXX YYY ZZZ Warehouse Queries",1,24,24,NA,"CHRONICLE","PC2","PBC72","Operational","Client Support",21,1.5,24,1.5,19.5,19.5
12844,"SiP Management Meeting",1,23,58,NA,"FINISHED","PC18","PBC33","Management","Management Meeting",3,3.5,58,3.5,-0.5,-0.5
12845,"White Labellers client support and queries",3,42,42,NA,"CHRONICLE","PC5","PBC51","Management","Client Support",99,148.75,42,148.75,-49.75,-49.75
12846,"YouLink HR: Super Search Phase 1",1,42,58,NA,"FINISHED","PC5","PBC51","Development","Enhancement",35,37.22,58,37.22,-2.22,-2.22
12847,"Demo to CCC with YYY ZZZ",3,42,42,NA,"COMPLETED","PC5","PBC29","Management","Marketing",3.5,3.5,42,3.5,0,0
12848,"YouLink HR: EMail Server Spike",1,58,58,NA,"FINISHED","PC5","PBC14","Development","Enhancement",14,6,58,6,8,8
12849,"YouLink HR: Release Third Party Consultant Functionality",1,42,58,NA,"FINISHED","PC5","PBC51","Development","Release",7,8.97,58,8.97,-1.97,-1.97
12850,"E-HR v2 Client: CCC 2012",1,58,58,NA,"FINISHED","PC5","PBC51","Development","Support",35,2.3,58,1.25,32.7,33.75
12850,"E-HR v2 Client: CCC 2012",1,58,58,NA,"FINISHED","PC5","PBC51","Development","Support",35,2.3,42,0.2,32.7,NA
12850,"E-HR v2 Client: CCC 2012",1,58,58,NA,"FINISHED","PC5","PBC51","Development","Support",35,2.3,24,0.85,32.7,NA
12851,"CCC Demo Preparation and Demo",1,13,13,NA,"COMPLETED","PC18","PBC31","Management","Project Management",7,31.92,24,7.5,-24.92,NA
12851,"CCC Demo Preparation and Demo",1,13,13,NA,"COMPLETED","PC18","PBC31","Management","Project Management",7,31.92,13,24.42,-24.92,-17.42
12852,"BCP .XLS/.DOC Export Issue",4,58,24,NA,"CHRONICLE","PC5","PBC51","Development","Bug",49,6.5,24,6.5,42.5,42.5
12853,"E-HR V2 Client: CCC 2012",1,58,58,NA,"FINISHED","PC5","PBC51","Development","Support",35,1.14,58,1.14,33.86,33.86
12854,"Deploying, creating and testing new Licence for YYY ZZZ's LinkEX",3,42,42,NA,"CHRONICLE","PC18","PBC33","Management","Client Support",1.5,3,42,3,-1.5,-1.5
12855,"MS Exchange 2010 Email Logs Import To SQL",1,24,24,NA,"CHRONICLE","PC5","PBC51","Operational","In House Support",21,7,24,7,14,14
12856,"Flex Mobile - Subsidy Fund",1,13,13,NA,"CHRONICLE","PC13","PBC4","Development","Enhancement",35.5,37.5,13,37.5,-2,-2
12857,"Discussion and testing for new Super Search. Training new users too",3,58,42,NA,"CHRONICLE","PC5","PBC51","Management","Marketing",7,6,42,6,1,1
12858,"YouLink HR: Online Search Release",1,58,58,NA,"FINISHED","PC5","PBC51","Development","Release",7,6.82,58,6.82,0.18,0.18
12859,"YouLink HR: April 2012 - Bug Fixes and Tweeks",1,58,58,NA,"FINISHED","PC5","PBC51","Development","Bug",35,5.7,58,5.7,29.3,29.3
12860,"Daily Management Tasks - April 2012",1,58,58,NA,"FINISHED","PC18","PBC33","Management","General Documentation",15,15.95,58,15.95,-0.95,-0.95
12861,"YouLink HR: Diagnosing Silverlight 4 Nested Grid Control Scrolling Issue",1,42,58,NA,"FINISHED","PC5","PBC51","Development","Bug",4,7.63,58,7.63,-3.63,-3.63
12862,"SIP Admin Tasks",1,58,13,NA,"COMPLETED","PC18","PBC60","Management","Project Management",0.5,0.5,13,0.5,0,0
12863,"YouLink HR: CCC Client Trial Setup",1,58,58,NA,"FINISHED","PC5","PBC14","Development","Support",2,1.67,58,1.67,0.33,0.33
12864,"Syndicate XXXX Conversion to Iris Initial Reconcilation Help YYY ZZZ Ticket 43394",1,24,24,NA,"CHRONICLE","PC2","PBC72","Operational","Client Support",7,3,24,3,4,4
12865,"Restoring YYY ZZZ/RITC Databases Back To Laptop Following Demo.",1,13,13,NA,"COMPLETED","PC18","PBC33","Management","Project Management",1,2.5,13,2.5,-1.5,-1.5
12866,"YYY ZZZ XXXX Support - ROE upload aid",1,13,13,NA,"COMPLETED","PC2","PBC72","Development","Support",0.5,0.5,13,0.5,0,0
12867,"YYY ZZZ - XXXX and XXXX - Aid Close and Warehouse Build",1,13,13,NA,"COMPLETED","PC2","PBC21","Development","Support",0.5,0.75,13,0.75,-0.25,-0.25
12868,"YouLink HR: Exclude All Third Party Consultants From Reports",1,58,24,NA,"FINISHED","PC5","PBC51","Development","Enhancement",1.5,0.27,58,0.27,1.23,NA
12869,"CCC Support - RI Adjustment To Closed Claim Request",1,13,13,NA,"COMPLETED","PC2","PBC53","Development","Support",0.5,0.5,13,0.5,0,0
12870,"CCC - Data Mart - Updates",1,13,13,NA,"CHRONICLE","PC2","PBC42","Development","Enhancement",10,11,13,11,-1,-1
12871,"Flex Mobile - Daily Sales Report Not Showing Deposit Credit Amounts",1,13,13,NA,"CHRONICLE","PC13","PBC4","Development","Bug",7,6.5,13,6.5,0.5,0.5
12872,"CCC - Risk Policy Broker Code Update",1,13,13,NA,"COMPLETED","PC2","PBC73","Development","Enhancement",0.5,0.5,13,0.5,0,0
12873,"Flex Mobile - New Manufacturer Entry Support",1,13,13,NA,"COMPLETED","PC13","PBC4","Development","Support",0.5,0.25,13,0.25,0.25,0.25
12874,"Flex Mobile - Part Fund Amount Restting To 0 Following Credit",1,13,13,NA,"CHRONICLE","PC13","PBC4","Development","Bug",5,0.5,13,0.5,4.5,4.5
12877,"Preparing and testing demo for CCC tomorrow",4,42,42,NA,"COMPLETED","PC5","PBC29","Management","Marketing",6,7,42,7,-1,-1
12878,"YouLink HR: Unsubscribe Component",1,24,58,NA,"FINISHED","PC5","PBC51","Development","Enhancement",14,10.56,2,4.36,3.44,NA
12878,"YouLink HR: Unsubscribe Component",1,24,58,NA,"FINISHED","PC5","PBC51","Development","Enhancement",14,10.56,58,6.2,3.44,7.8
12879,"SIP Technical Core Build - Build Issues",1,13,13,NA,"CHRONICLE","PC9","PBC41","Development","Bug",7,19.5,13,19.5,-12.5,-12.5
